"id","eventid","source","displaypath","priority","eventtype","eventflags","eventtime"
5967394,dc565d62-84d6-4957-85fe-04e2ba251ea8,prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_082:/alm:Alarm,GantrySystem1_AlarmLPF1_082,3,1,16,2024-05-22 14:31:23.987
5967393,"42f4e679-d5e0-4e88-b2d3-8d5a697bf92e",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_081:/alm:Alarm,GantrySystem1_AlarmLPF1_081,3,1,16,2024-05-22 14:31:23.983
5967391,"7bdb65b2-6d00-478b-b1bc-0730be962959",prov:default:/tag:L2/ASRS/Conveyors/ASRS7A040/Out_JamFault:/alm:Out_JamFault,ASRS7A040.Out_JamFault,3,2,20,2024-05-22 14:31:23.487
5967392,"12061b31-21c1-48fd-9ea2-32345708d3ee",prov:default:/tag:L2/ASRS/Conveyors/ASRS7A040/Out_JamFault:/alm:Out_JamFault,ASRS7A040.Out_JamFault,3,0,0,2024-05-22 14:31:23.487
5967389,c807d7a1-e5eb-4e51-9854-4f8e9e972b8e,prov:default:/tag:L2/ASRS/Conveyors/ASRS7A040/Out_Fault:/alm:Out_Fault,ASRS7A040.Out_Fault,4,2,20,2024-05-22 14:31:22.483
5967390,e552ba3c-84fa-4dfc-a729-ab75ec798445,prov:default:/tag:L2/ASRS/Conveyors/ASRS7A040/Out_Fault:/alm:Out_Fault,ASRS7A040.Out_Fault,4,0,0,2024-05-22 14:31:22.483
5967375,"8c79b758-6ef1-42b2-b233-048a816d375c",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_070:/alm:Alarm,GantrySystem1_AlarmLPF1_070,3,2,20,2024-05-22 14:31:20.980
5967377,"5720050a-c3aa-448f-bd6e-3a5890bd8c5a",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_085:/alm:Alarm,GantrySystem1_AlarmLPF1_085,3,2,20,2024-05-22 14:31:20.980
5967378,f2ff6dde-39f1-4789-8259-f24db6018ca9,prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_085:/alm:Alarm,GantrySystem1_AlarmLPF1_085,3,0,0,2024-05-22 14:31:20.980
5967379,"7021f72b-bb2b-4249-8858-cbe0cfaec653",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_076:/alm:Alarm,GantrySystem1_AlarmLPF1_076,3,2,20,2024-05-22 14:31:20.980
